,CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL,SMILES_check
2006,C6632,Cyclen,294-90-6,G07,L1021-23,172.27,H2O,C8H20N4,C1CNCCNCCNCCN1,Insoluble in DMSO; ≥32.4 mg/mL in EtOH; ≥15.55 mg/mL in H2O,,Others,Others,analogues of aza-crown ethers,https://www.apexbt.com/search.php?catalog=C6632,1
2007,C6634,Bendazol,621-72-7,G08,L1021-23,208.26,DMSO,C14H12N2,C1(CC2=CC=CC=C2)=NC3=CC=CC=C3N1,≥34.7 mg/mL in DMSO; ≥37 mg/mL in EtOH; insoluble in H2O,,Immunology & Inflammation,NOS,"antihypertensive drug, enhances NO synthase activity ",https://www.apexbt.com/search.php?catalog=C6634,1
2008,C6638,Idramantone,20098-14-0,G09,L1021-23,166.22,DMSO,C10H14O2,O=C1C(C2)CC3CC2(O)CC1C3,≥32.3 mg/mL in DMSO; ≥33.8 mg/mL in EtOH; ≥32.2 mg/mL in H2O,,Immunology & Inflammation,Immunology & Inflammation related,Idramantone is an immune agonist,https://www.apexbt.com/search.php?catalog=C6638,1
2009,C6646,Methylene Blue,61-73-4,G10,L1021-23,319.85,DMSO,C16H18ClN3S,CN(C)C1=CC=C2C(SC(C(C=C/3)=N2)=CC3=[N+](C)/C)=C1.[Cl-],≥60.8 mg/mL in DMSO; insoluble in EtOH; ≥14.87 mg/mL in H2O,,Others,Others,"monoamine oxidase A (MAO-A), guanylate cyclase (sGC) and NO synthase (NOS) inhibitor",https://www.apexbt.com/search.php?catalog=C6646,1
2010,C6659,Amifampridine,54-96-6,G11,L1021-23,109.13,DMSO,C5H7N3,NC1=C(N)C=CN=C1,≥19.1 mg/mL in DMSO; ≥19.4 mg/mL in EtOH; ≥10.05 mg/mL in H2O,,Others,Others,rare muscle disease drugs,https://www.apexbt.com/search.php?catalog=C6659,1
2011,C6660,Sophoricoside,152-95-4,H01,L1021-23,432.38,DMSO,C21H20O10,OC1=CC(O)=C(C(C(C2=CC=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2)=CO4)=O)C4=C1,≥28.37 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,Immunology & Inflammation,Immunology & Inflammation related,"an isoflavone with anti-inflammatory, anti-cancer and immunosuppressive properties",https://www.apexbt.com/search.php?catalog=C6660,1
2012,C6667,Benactyzine hydrochloride,57-37-4,H02,L1021-23,363.88,DMSO,C20H26ClNO3,O=C(OCCN(CC)CC)C(C1=CC=CC=C1)(O)C2=CC=CC=C2.[H]Cl,≥59.3 mg/mL in DMSO; ≥15.13 mg/mL in EtOH with ultrasonic; ≥17.8 mg/mL in H2O with ultrasonic,,Neuronal Signaling,AChR,muscarinic antagonist,https://www.apexbt.com/search.php?catalog=C6667,1
2013,C6668,Methylbenactyzine Bromide,3166-62-9,H03,L1021-23,422.36,DMSO,C21H28BrNO3,O=C(OCC[N+](CC)(CC)C)C(C1=CC=CC=C1)(O)C2=CC=CC=C2.[Br-],≥73.2 mg/mL in DMSO; ≥20.97 mg/mL in EtOH; ≥50.7 mg/mL in H2O,,Neuronal Signaling,AChR,muscarinic cholinergic receptor antagonist,https://www.apexbt.com/search.php?catalog=C6668,1
2014,C6669,Diiodohydroxyquinoline,83-73-8,H04,L1021-23,396.95,DMSO,C9H5I2NO,OC1=C2N=CC=CC2=C(I)C=C1I,≥16.97mg/mL in DMSO with ultrasonic; insoluble in EtOH; insoluble in H2O,,Microbiology,Anti-infection,antimicrobial,https://www.apexbt.com/search.php?catalog=C6669,1
2015,C6685,Succinylsulfathiazole,116-43-8,H05,L1021-23,355.39,DMSO,C13H13N3O5S2,O=C(O)CCC(NC1=CC=C(S(=O)(NC2=NC=CS2)=O)C=C1)=O,≥58.3 mg/mL in DMSO; ≥4.5 mg/mL in EtOH (Need ultrasonic and warming); insoluble in H2O,,Microbiology,Anti-infection,antibiotic,https://www.apexbt.com/search.php?catalog=C6685,1
2016,C6694,Methacholine chloride,62-51-1,H06,L1021-23,195.69,DMSO,C8H18ClNO2,CC(OC(C)=O)C[N+](C)(C)C.[Cl-],≥29.4 mg/mL in DMSO; ≥39.8 mg/mL in EtOH; ≥24.6 mg/mL in H2O,,Neuronal Signaling,AChR,non-selective muscarinic receptor agonist,https://www.apexbt.com/search.php?catalog=C6694,1
2017,C6701,Ceftiofur sodium,104010-37-9,H07,L1021-23,545.54,DMSO,C19H16N5NaO7S3,O=C(O[Na])C(N12)=C(CSC(C3=CC=CO3)=O)CS[C@]2([H])[C@H](NC(/C(C4=CSC(N)=N4)=N\OC)=O)C1=O,≥78.9 mg/mL in DMSO; insoluble in EtOH; ≥36.85 mg/mL in H2O,,Microbiology,Anti-infection,broad spectrum cephalosporin,https://www.apexbt.com/search.php?catalog=C6701,1
2018,C6703,Dehydrocholic acid,81-23-2,H08,L1021-23,402.52,DMSO,C24H34O5,C[C@H](CCC(O)=O)[C@H]([C@]12C)CC[C@@]1([H])[C@]3([H])C(C[C@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC2=O)=O)=O,≥72.3 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,Others,Others,Semi-synthetic bile acid,https://www.apexbt.com/search.php?catalog=C6703,1
2019,C6705,Amlodipine maleate,88150-47-4,H09,L1021-23,524.95,DMSO,C24H29ClN2O9,O=C(C1=C(COCCN)NC(C)=C(C(OC)=O)C1C2=CC=CC=C2Cl)OCC.OC(/C=C\C(O)=O)=O,≥74.9 mg/mL in DMSO; ≥14.04 mg/mL in EtOH with ultrasonic; insoluble in H2O,,Transmembrane Transporters,Calcium Channel,dihydropyridine calcium channel blocker,https://www.apexbt.com/search.php?catalog=C6705,1
2020,C6709,Anethole trithione,532-11-6,H10,L1021-23,240.36,DMSO,C10H8OS3,S=C1SSC(C2=CC=C(OC)C=C2)=C1,≥42.7 mg/mL in DMSO; ≥1.73 mg/mL in EtOH (Need ultrasonic and warming); insoluble in H2O,,Others,Others,"thiocyclic choline, bile secretion stimulant",https://www.apexbt.com/search.php?catalog=C6709,1
2021,C6712,Hydroquinidine,1435-55-8,H11,L1021-23,326.43,DMSO,C20H26N2O2,O[C@@H](C1=CC=NC2=C1C=C(OC)C=C2)[C@]3([H])[N@](C[C@@H]4CC)CC[C@H]4C3,≥27.6 mg/mL in DMSO; ≥14.33 mg/mL in EtOH with ultrasonic; insoluble in H2O,,Others,Others,antiarrhythmic agent,https://www.apexbt.com/search.php?catalog=C6712,1
2022,C6713,Pazufloxacin mesylate,163680-77-1,A01,L1021-24,414.4,DMSO,C17H19FN2O7S,O=C(C(C1=O)=CN2[C@@H](C)COC3=C(C4(N)CC4)C(F)=CC1=C23)O.CS(=O)(O)=O,≥81.6 mg/mL in DMSO; insoluble in EtOH; ≥71.3 mg/mL in H2O,,Microbiology,Anti-infection,antibacterial quinolone,https://www.apexbt.com/search.php?catalog=C6713,1
2023,C6716,Diethylcarbamazine citrate,1642-54-2,A02,L1021-24,391.42,DMSO,C16H29N3O8,O=C(N1CCN(C)CC1)N(CC)CC.O=C(CC(C(O)=O)(O)CC(O)=O)O,≥76.6 mg/mL in DMSO; ≥15.12 mg/mL in EtOH with ultrasonic; ≥68.5 mg/mL in H2O,,Microbiology,Anti-infection,inhibitors of arachidonic acid metabolism in microfilariae,https://www.apexbt.com/search.php?catalog=C6716,1
2024,C6718,Pyrantel tartrate,33401-94-4,A03,L1021-24,356.39,DMSO,C15H20N2O6S,CN1CCCN=C1/C=C/C2=CC=CS2.O=C(O)[C@H](O)[C@@H](O)C(O)=O,≥33.4 mg/mL in DMSO; insoluble in EtOH; ≥33.9 mg/mL in H2O,,Anti-infection,Parasite,nicotinic acetylcholine receptor (nAChR) agonist,https://www.apexbt.com/search.php?catalog=C6718,1
2025,C6722,Nikethamide,59-26-7,A04,L1021-24,178.23,DMSO,C10H14N2O,O=C(C1=CC=CN=C1)N(CC)CC,≥35.2 mg/mL in DMSO; ≥32.7 mg/mL in EtOH; ≥30.6 mg/mL in H2O,,Pyridine,Others,respiratory central activator,https://www.apexbt.com/search.php?catalog=C6722,1
2026,C6723,Theophylline-7-acetic acid,652-37-9,A05,L1021-24,238.2,DMSO,C9H10N4O4,O=C(O)CN1C=NC(N(C)C(N2C)=O)=C1C2=O,≥43.7 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,GPCR & G Protein,Adenosine Receptor,adenosine receptor antagonist,https://www.apexbt.com/search.php?catalog=C6723,1
2027,C6728,1H-pyrazole,288-13-1,A06,L1021-24,68.08,DMSO,C3H4N2,N1=CC=CN1,≥13.8 mg/mL in DMSO; ≥10.4 mg/mL in EtOH; ≥10.4 mg/mL in H2O,,others,others,endogenous metabolite,https://www.apexbt.com/search.php?catalog=C6728,1
2028,C6741,Dehydroacetic acid,520-45-6,A07,L1021-24,168.15,DMSO,C8H8O4,O=C1C(C(C)=O)C(C=C(C)O1)=O,≥31.5 mg/mL in DMSO; ≥10.47 mg/mL in EtOH; insoluble in H2O,,Microbiology,Anti-infection,fungicide and bactericide,https://www.apexbt.com/search.php?catalog=C6741,1
2029,C6744,Terpin hydrate,2451-01-6,A08,L1021-24,190.28,DMSO,C10H22O3,O[C@]1(C)CC[C@H](C(C)(C)O)CC1.O,≥35.7 mg/mL in DMSO; ≥38.1 mg/mL in EtOH; insoluble in H2O,,Others,Others,expectorant,https://www.apexbt.com/search.php?catalog=C6744,1
2030,C6750,DEET,134-62-3,A09,L1021-24,191.27,DMSO,C12H17NO,O=C(C1=CC=CC(C)=C1)N(CC)CC,≥30.6 mg/mL in DMSO; ≥33.8 mg/mL in EtOH; insoluble in H2O,,Microbiology,Anti-infection,insect repellent ingredient,https://www.apexbt.com/search.php?catalog=C6750,1
2031,C6752,Triacetonamine,826-36-8,A10,L1021-24,155.24,DMSO,C9H17NO,O=C1CC(C)(NC(C)(C1)C)C,≥30 mg/mL in DMSO; ≥28.7 mg/mL in EtOH; ≥28 mg/mL in H2O,,Others,Others,"intermediates for the synthesis of pharmaceutical products, pesticides and polymeric light stabilizers",https://www.apexbt.com/search.php?catalog=C6752,1
2032,C6756,Chloroxylenol,88-04-0,A11,L1021-24,156.61,DMSO,C8H9ClO,OC1=CC(C)=C(Cl)C(C)=C1,≥30.5 mg/mL in DMSO; ≥28.8 mg/mL in EtOH; insoluble in H2O,,Microbiology,Anti-infection,broad-spectrum antibacterial compound,https://www.apexbt.com/search.php?catalog=C6756,1
2033,C6757,Carbendazim,10605-21-7,B01,L1021-24,191.19,DMSO,C9H9N3O2,O=C(OC)NC1=NC2=CC=CC=C2N1,≥5.1mg/mL in DMSO with ultrasonic; insoluble in EtOH; insoluble in H2O,,Microbiology,Anti-infection,broad-spectrum antifungal drug,https://www.apexbt.com/search.php?catalog=C6757,1
2034,C6759,Batyl alcohol,544-62-7,B02,L1021-24,344.57,DMSO,C21H44O3,CCCCCCCCCCCCCCCCCCOCC(O)CO,≥3.95mg/mL in DMSO with ultrasonic; ≥136.5 mg/mL in EtOH; insoluble in H2O,,Immunology & Inflammation,Immunology & Inflammation related,endogenous metabolite,https://www.apexbt.com/search.php?catalog=C6759,1
2035,C6765,4-Aminoantipyrine,83-07-8,B03,L1021-24,203.24,DMSO,C11H13N3O,O=C1N(N(C(C)=C1N)C)C2=CC=CC=C2,≥36.2 mg/mL in DMSO; ≥27.7 mg/mL in EtOH; ≥35.8 mg/mL in H2O,,Others,Others,aminopyrine metabolite,https://www.apexbt.com/search.php?catalog=C6765,1
2036,C6766,Ethylvanillin,121-32-4,B04,L1021-24,166.17,DMSO,C9H10O3,O=CC1=CC=C(C(OCC)=C1)O,≥28.5 mg/mL in DMSO; ≥27.1 mg/mL in EtOH; insoluble in H2O,,Others,Others,edible spices and used in the production of chocolate,https://www.apexbt.com/search.php?catalog=C6766,1
2037,C6769,Bronopol,52-51-7,B05,L1021-24,199.99,DMSO,C3H6BrNO4,OCC(Br)(CO)[N+]([O-])=O,≥34.1 mg/mL in DMSO; ≥39.8 mg/mL in EtOH; ≥31.9 mg/mL in H2O,,Microbiology,Anti-infection,antimicrobial,https://www.apexbt.com/search.php?catalog=C6769,1
2038,C6772,Piperazine adipate,142-88-1,B06,L1021-24,232.28,H2O,C10H20N2O4,O=C(CCCCC(O)=O)O.N1CCNCC1,Insoluble in DMSO; insoluble in EtOH; ≥13.93 mg/mL in H2O with ultrasonic,,Others,Others,broad spectrum anthelmintic agent,https://www.apexbt.com/search.php?catalog=C6772,1
2039,C6773,Danthron,117-10-2,B07,L1021-24,240.21,DMSO,C14H8O4,O=C1C2=C(C(C3=C(O)C=CC=C13)=O)C(O)=CC=C2,≥9.08mg/mL in DMSO with ultrasonic; insoluble in EtOH; insoluble in H2O,,Others,Others,"AMPK activator, regulates glucose and lipid metabolism",https://www.apexbt.com/search.php?catalog=C6773,1
2040,C6776,DL-Panthenol,16485-10-2,B08,L1021-24,205.25,DMSO,C9H19NO4,O=C(C(C(C)(CO)C)O)NCCCO,≥34.7 mg/mL in DMSO; ≥35.4 mg/mL in EtOH; ≥33.2 mg/mL in H2O,,Others,Others,Vitaminogen for B5,https://www.apexbt.com/search.php?catalog=C6776,1
2041,C6781,Oxaceprol,33996-33-7,B09,L1021-24,173.17,DMSO,C7H11NO4,O=C([C@H]1N(C[C@@H](C1)O)C(C)=O)O,≥31.6 mg/mL in DMSO; ≥29.8 mg/mL in EtOH; ≥31.9 mg/mL in H2O,,Immunology & Inflammation,Immunology & Inflammation related,anti-inflammatory drug,https://www.apexbt.com/search.php?catalog=C6781,1
2042,C6782,Osalmid,526-18-1,B10,L1021-24,229.23,DMSO,C13H11NO3,O=C(C1=CC=CC=C1O)NC2=CC=C(O)C=C2,≥42.9 mg/mL in DMSO; ≥42.8 mg/mL in EtOH; insoluble in H2O,,Anti-infection,ribonucleotide reductase,ribonucleotide reductase inhibitor,https://www.apexbt.com/search.php?catalog=C6782,1
2043,C6789,Citiolone,1195-16-0,B11,L1021-24,159.21,DMSO,C6H9NO2S,CC(NC1CCSC1=O)=O,≥28.9 mg/mL in DMSO; ≥31.5 mg/mL in EtOH; ≥30.4 mg/mL in H2O,,Others,Others,cysteine derivative,https://www.apexbt.com/search.php?catalog=C6789,1
2044,C6790,Methionine,348-67-4,C01,L1021-24,149.21,H2O,C5H11NO2S,N[C@@H](C(O)=O)CCSC,Insoluble in DMSO; insoluble in EtOH; ≥28.8 mg/mL in H2O,,Neuronal Signaling,GABA Receptor,GABA Receptor activitor,https://www.apexbt.com/search.php?catalog=C6790,1
2045,C6791,Acetylcholine iodide,2260-50-6,C02,L1021-24,273.11,DMSO,C7H16INO2,O=C(C)OCC[N+](C)(C)C.[I-],≥51.8 mg/mL in DMSO; insoluble in EtOH; ≥51.2 mg/mL in H2O,,Neuronal Signaling,AChR,neurotransmitter,https://www.apexbt.com/search.php?catalog=C6791,1
2046,C6831,4-Phenylbutyric acid,1821-12-1,C03,L1021-24,164.2,DMSO,C10H12O2,O=C(CCCC1=CC=CC=C1)O,≥31 mg/mL in DMSO; ≥29.5 mg/mL in EtOH; insoluble in H2O,,Phenyl, histone deacetylase (HDAC),endoplasmic reticulum stress (ER) and histone deacetylase (HDAC) inhibitor,https://www.apexbt.com/search.php?catalog=C6831,1
2047,C6841,Oxytetracycline hydrochloride,2058-46-0,C04,L1021-24,496.89,DMSO,C22H25ClN2O9,OC([C@@H](N(C)C)[C@]1([H])[C@@H](O)[C@](C2=C(O)[C@@]13O)([H])[C@](C)(O)C4=CC=CC(O)=C4C2=O)=C(C(N)=O)C3=O.Cl,≥93.6 mg/mL in DMSO; insoluble in EtOH; ≥76.3 mg/mL in H2O,,Microbiology,Anti-infection,antibiotic,https://www.apexbt.com/search.php?catalog=C6841,1
2048,C6858,Maleimide,541-59-3,C05,L1021-24,97.07,DMSO,C4H3NO2,O=C(C=C1)NC1=O,≥18.6 mg/mL in DMSO; ≥8.2 mg/mL in EtOH; ≥13.5 mg/mL in H2O,,others,dyes. ADC linker,antibody-drug coupling (ADC); preparation of fluorescent probes,https://www.apexbt.com/search.php?catalog=C6858,1
2049,C6864,Veratric acid,93-07-2,C06,L1021-24,182.17,DMSO,C9H10O4,O=C(C1=CC=C(C(OC)=C1)OC)O,≥34.1 mg/mL in DMSO; ≥15.55 mg/mL in EtOH; insoluble in H2O,,Phenyl,COX-2,"polyphenols with antioxidant, cardioprotective and anti-inflammatory activity;reduced up-regulated COX-2 expression and decreased PGE2 and IL-6 levels upon UVB radiation",https://www.apexbt.com/search.php?catalog=C6864,1
2050,C6866,Benzamidine HCl,1670-14-0,C07,L1021-24,156.61,DMSO,C7H9ClN2,N=C(N)C1=CC=CC=C1.Cl,≥30 mg/mL in DMSO; ≥23.5 mg/mL in EtOH; ≥22.8 mg/mL in H2O,,Proteases,Serine/threonin kina,Trypsin-like serine proteases inhibitor,https://www.apexbt.com/search.php?catalog=C6866,1
2051,C6883,Cloxiquine,130-16-5,C08,L1021-24,179.6,DMSO,C9H6ClNO,OC1=C2N=CC=CC2=C(C=C1)Cl,≥27.3 mg/mL in DMSO; ≥14.8 mg/mL in EtOH; insoluble in H2O,,Microbiology,Anti-infection,antimicrobial,https://www.apexbt.com/search.php?catalog=C6883,1
2052,C6885,Deoxycholic acid sodium salt,302-95-4,C09,L1021-24,414.55,DMSO,C24H39NaO4,C[C@@]12[C@]([C@@]([H])([C@@]3(C[C@@H]1O)[H])CC[C@]4([C@]3(C)CC[C@H](C4)O)[H])(CC[C@]2([H])[C@@H](CCC(O[Na])=O)C)[H],≥4.13mg/mL in DMSO (Need ultrasonic and warming); ≥15.4 mg/mL in EtOH (Need ultrasonic and warming); ≥32.04 mg/mL in H2O,,GPCR & G Protein,GPCR19,G protein-coupled bile acid receptor TGR5 activator,https://www.apexbt.com/search.php?catalog=C6885,1
2053,C6892,Acetylleucine,99-15-0,C10,L1021-24,173.21,DMSO,C8H15NO3,O=C(NC(CC(C)C)C(O)=O)C,≥28.5 mg/mL in DMSO; ≥33.2 mg/mL in EtOH; ≥7.57 mg/mL in H2O with ultrasonic,,Others,Others,medication for vertigo,https://www.apexbt.com/search.php?catalog=C6892,1
2054,C6905,2-Phenylacetamide,103-81-1,C11,L1021-24,135.16,DMSO,C8H9NO,O=C(CC1=CC=CC=C1)N,≥25.5 mg/mL in DMSO; ≥12.3 mg/mL in EtOH; ≥1.26 mg/mL in H2O with ultrasonic,,Endocrinology & Hormones,Estrogen/progestogen Receptor,endogenous metabolite,https://www.apexbt.com/search.php?catalog=C6905,1
2055,C6919,4-Biphenylacetic acid,5728-52-9,D01,L1021-24,212.24,DMSO,C14H12O2,O=C(CC1=CC=C(C=C1)C2=CC=CC=C2)O,≥33.9 mg/mL in DMSO; ≥11.67 mg/mL in EtOH with ultrasonic; insoluble in H2O,,Immunology & Inflammation,Immunology & Inflammation related,"non-steroidal anti-inflammatory drugs, NSAIDs",https://www.apexbt.com/search.php?catalog=C6919,1
2056,C6931,ATP,56-65-5,D02,L1021-24,507.18,H2O,C10H16N5O13P3,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(OP(OP(O)(O)=O)(O)=O)=O)N2C=NC3=C2N=CN=C3N,Insoluble in DMSO; insoluble in EtOH; ≥38 mg/mL in H2O,,Immunology & Inflammation,Immunology & Inflammation related,endogenous signalling molecules; important substances for energy storage and metabolism,https://www.apexbt.com/search.php?catalog=C6931,1
2057,C6933,Carsalam,2037-95-8,D03,L1021-24,163.13,DMSO,C8H5NO3,O=C(OC1=CC=CC=C12)NC2=O,≥32.2 mg/mL in DMSO; ≥3.11 mg/mL in EtOH with ultrasonic; insoluble in H2O,,Microbiology,Anti-infection,non-steroidal anti-inflammatory drug,https://www.apexbt.com/search.php?catalog=C6933,1
2058,C6934,Robenidine hydrochloride,25875-50-7,D04,L1021-24,370.66,DMSO,C15H14Cl3N5,N=C(N/N=C/C1=CC=C(Cl)C=C1)N/N=C/C2=CC=C(Cl)C=C2.Cl,≥73.6 mg/mL in DMSO; ≥3.11 mg/mL in EtOH with ultrasonic; insoluble in H2O,,Microbiology,Anti-infection,anticoccidial; MRSA and VRE inhibitor,https://www.apexbt.com/search.php?catalog=C6934,1
2059,C6944,Carboxine,5234-68-4,D05,L1021-24,235.3,DMSO,C12H13NO2S,O=C(NC1=CC=CC=C1)C2=C(OCCS2)C,≥44.3 mg/mL in DMSO; ≥23 mg/mL in EtOH; insoluble in H2O,,Anti-infection,Others,Fungicides and seed protectants,https://www.apexbt.com/search.php?catalog=C6944,1
2060,C6948,Perflubron,423-55-2,D06,L1021-24,498.96,EtOH,C8BrF17,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(Br)(F)F)F)F)F)F)F)F)F,Insoluble in DMSO; ≥58.2 mg/mL in EtOH; insoluble in H2O,,Immunology & Inflammation,Immunology & Inflammation related,contrast media,https://www.apexbt.com/search.php?catalog=C6948,1
2061,C6949,Sulfabenzamide,127-71-9,D07,L1021-24,276.31,DMSO,C13H12N2O3S,O=C(C1=CC=CC=C1)NS(=O)(C2=CC=C(N)C=C2)=O,≥53.3 mg/mL in DMSO; ≥8.98 mg/mL in EtOH with ultrasonic; insoluble in H2O,,Microbiology,Anti-infection,antimicrobial,https://www.apexbt.com/search.php?catalog=C6949,1
2062,C6952,Menadiol Diacetate,573-20-6,D08,L1021-24,258.27,DMSO,C15H14O4,CC1=CC(OC(C)=O)=C2C=CC=CC2=C1OC(C)=O,≥48.9 mg/mL in DMSO; ≥22.7 mg/mL in EtOH; insoluble in H2O,,Microbiology,Vitamin,"Vitamin K4, used in blood clotting",https://www.apexbt.com/search.php?catalog=C6952,1
2063,C6958,Menbutone,3562-99-0,D09,L1021-24,258.27,DMSO,C15H14O4,O=C(CCC(C1=C2C=CC=CC2=C(C=C1)OC)=O)O,≥47.8 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,Others,Others,"Oxobutyric acid derivatives, Choleretic",https://www.apexbt.com/search.php?catalog=C6958,1
2064,C6962,Lawsone,83-72-7,D10,L1021-24,174.15,DMSO,C10H6O3,O=C1C(O)=CC(C2=C1C=CC=C2)=O,≥35.6 mg/mL in DMSO; ≥11.03 mg/mL in EtOH with ultrasonic; insoluble in H2O,,Others,Others,"naphthoquinone dyes, with antibacterial and antioxidant activity",https://www.apexbt.com/search.php?catalog=C6962,1
2065,C6963,Thiamine nitrate,532-43-4,D11,L1021-24,327.36,H2O,C12H17N5O4S,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[O-][N+]([O-])=O,≥3.12mg/mL in DMSO with ultrasonic; insoluble in EtOH; ≥12.32 mg/mL in H2O with ultrasonic,,Metabolism,Vitamin,Vitamins,https://www.apexbt.com/search.php?catalog=C6963,1
2066,C6964,Diatrizoic acid,117-96-4,E01,L1021-24,613.91,DMSO,C11H9I3N2O4,O=C(C1=C(C(NC(C)=O)=C(C(NC(C)=O)=C1I)I)I)O,≥87.3 mg/mL in DMSO; ≥3.85 mg/mL in EtOH (Need ultrasonic and warming); insoluble in H2O,,Others,Others,Iodinated contrast media; calcium disorders,https://www.apexbt.com/search.php?catalog=C6964,1
2067,C6968,10-Undecenoic acid,112-38-9,E02,L1021-24,184.28,DMSO,C11H20O2,C=CCCCCCCCCC(O)=O,≥36.8 mg/mL in DMSO; ≥36.5 mg/mL in EtOH; ≥31.8 mg/mL in H2O,,Others,Others,Pheromone (11Z)-hexadecenal synthesis starter,https://www.apexbt.com/search.php?catalog=C6968,1
2068,C6969,Acetophenone,98-86-2,E03,L1021-24,120.15,DMSO,C8H8O,CC(C1=CC=CC=C1)=O,≥22.8 mg/mL in DMSO; ≥21 mg/mL in EtOH; ≥19.8 mg/mL in H2O,,Phenyl,Others,an organic compound used in flavoring and in the synthesis of some medicines,https://www.apexbt.com/search.php?catalog=C6969,1
2069,C6974,Trimethobenzamide hydrochloride,554-92-7,E04,L1021-24,424.92,DMSO,C21H29ClN2O5,O=C(C1=CC(OC)=C(OC)C(OC)=C1)NCC2=CC=C(OCCN(C)C)C=C2.Cl,≥70 mg/mL in DMSO; ≥8.15 mg/mL in EtOH; ≥51 mg/mL in H2O,,Others,Others,oral antiemetics,https://www.apexbt.com/search.php?catalog=C6974,1
2070,C6976,Sparteine,492-08-0,E05,L1021-24,234.38,DMSO,C15H26N2,[H][C@]12CCCCN1C[C@H]3C[C@@H]2CN4CCCC[C@@]34[H],≥46.4 mg/mL in DMSO; ≥40.2 mg/mL in EtOH; insoluble in H2O,,Others,Others,nicotinic acetylcholine receptor (nACh receptor) inhibitor,https://www.apexbt.com/search.php?catalog=C6976,1
2071,C6983,Citicoline,987-78-0,E06,L1021-24,488.32,H2O,C14H26N4O11P2,C[N+](C)(C)CCOP(OC[C@H]1O[C@@H](N2C=CC(N)=NC2=O)[C@H](O)[C@@H]1O)(OP([O-])(O)=O)=O,Insoluble in DMSO; insoluble in EtOH; ≥20.7 mg/mL in H2O with ultrasonic,,Others,Others,"choline, natural compound ",https://www.apexbt.com/search.php?catalog=C6983,1
2072,C7006,Sulfaquinoxaline sodium,967-80-6,E07,L1021-24,322.32,DMSO,C14H11N4NaO2S,O=S(C1=CC=C(N)C=C1)([N-]C2=NC3=CC=CC=C3N=C2)=O.[Na+],≥60.2 mg/mL in DMSO; ≥12.14 mg/mL in EtOH with ultrasonic; ≥61.2 mg/mL in H2O,,Microbiology,Anti-infection,Veterinary antimicrobials,https://www.apexbt.com/search.php?catalog=C7006,1
2073,C7012,Febantel,58306-30-2,E08,L1021-24,446.48,DMSO,C20H22N4O6S,O=C(OC)N/C(NC(OC)=O)=N/C1=CC=C(C=C1NC(COC)=O)SC2=CC=CC=C2,≥69.1 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,Microbiology,Anti-infection,parasitic insecticide,https://www.apexbt.com/search.php?catalog=C7012,1
2074,C7015,Enoxacin Sesquihydrate,84294-96-2,E09,L1021-24,347.34,DMSO,C15H20FN4O4.5,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O.CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O.O.O.O,≥7.7 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,Microbiology,Anti-infection,broad-spectrum 6-fluoronaphthyridone antibacterial agent,https://www.apexbt.com/search.php?catalog=C7015,0
2075,C7022,Cetilistat,282526-98-1,E10,L1021-24,401.58,EtOH,C25H39NO3,CCCCCCCCCCCCCCCCOC(O1)=NC2=CC=C(C)C=C2C1=O,Insoluble in DMSO; ≥4.12 mg/mL in EtOH (Need ultrasonic and warming); insoluble in H2O,,Metabolism,Lipase,pancreatic lipase inhibitor,https://www.apexbt.com/search.php?catalog=C7022,1
2076,C7028,2'-Deoxyadenosine monohydrate,16373-93-6,E11,L1021-24,269.26,DMSO,C10H15N5O4,NC1=C(C2=NC=N1)N=CN2[C@@H]3O[C@H](CO)[C@@H](O)C3.O,≥50.1 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,Cancer,Others,derivatives of nucleoside adenosine,https://www.apexbt.com/search.php?catalog=C7028,1
2077,C7040,Triflupromazine hydrochloride,1098-60-8,F01,L1021-24,388.88,DMSO,C18H20ClF3N2S,FC(F)(F)C1=CC=C(SC2=C3C=CC=C2)C(N3CCCN(C)C)=C1.Cl,≥74.5 mg/mL in DMSO; ≥27.55 mg/mL in EtOH; ≥58 mg/mL in H2O,,Neuronal Signaling,D1/D2 receptor,dopamine D1/D2 receptor antagonist,https://www.apexbt.com/search.php?catalog=C7040,1
